LineNumber,ImageNumber,Section,ContentPreview
176,image10,共通ルール：飛行競技エリア・離陸・機体回収,![][image10]
179,image11,共通ルール：飛行競技エリア・離陸・機体回収,![][image11]
182,image5,共通ルール：飛行競技エリア・離陸・機体回収,![][image5]
185,image1,共通ルール：飛行競技エリア・離陸・機体回収,![][image1]
188,image13,共通ルール：飛行競技エリア・離陸・機体回収,![][image13]
191,image15,共通ルール：飛行競技エリア・離陸・機体回収,![][image15]
193,image12,共通ルール：飛行競技エリア・離陸・機体回収,![][image12]
195,image4,共通ルール：飛行競技エリア・離陸・機体回収,![][image4]
198,image5,共通ルール：飛行競技エリア・離陸・機体回収,![][image5]
368,image6,飛行競技ルール（一般部門）,![][image6]
437,image7,「投下完了」のコールの後、離発着エリアに静止する。,![][image7]
470,image8,「投下完了」のコールの後、離発着エリアに静止する。,![][image8]
637,image9,回収した救援物資を保持したまま離着陸エリアに着陸静止した場合は、上記の「高所物資回収点」に加えて 「高所物資回収追加点」として600点が加算される。,![][image9]
672,image10,水平旋回を1周行う。,![][image10]
781,image6,観測・推定した機体の姿勢/位置、ならびにそれらの目標値に合わせて、機体の舵あるいは推進装置を自律的に動作させ機体を操縦者の操縦なしに飛行させる。,![][image6]
880,image11,「投下完了」のコールの後、離発着エリアに静止する。,![][image11]
915,image12,水平旋回を1周行う。,![][image12]
949,image13,ポールの高さ以上の高度を保ったまま、水平旋回を2周行う。,![][image13]
1002,image14,ポールの高さ以上の高度を保ったまま、水平旋回を2周行う。,![][image14]
1152,image15,飛行競技ルール（マルチコプター部門）,![][image15]
1157,image16,飛行競技ルール（マルチコプター部門）,![][image16]
1218,image17,飛行競技ルール（マルチコプター部門）,| ![][image17] 図　高所物資運搬に使用する台 |   ![][image18] 図　識別用紙 |
1218,image18,飛行競技ルール（マルチコプター部門）,| ![][image17] 図　高所物資運搬に使用する台 |   ![][image18] 図　識別用紙 |
1281,image19,続いて糸の接続状態を保ったまま機体を、離着陸エリア②内かつ大型貨物着陸位置外に静止させる。 この時点で「大型貨物運搬点」が加点される。さらに機体がバーティポート内に静止できた時は「バーティポート内着陸点」が加点される。,![][image19]
